epoch,step,train_acc,train_loss,val_src_acc,val_src_loss,val_tgt_acc,val_tgt_loss
0,23,,,0.32756441831588745,1.3861217498779297,0.31199538707733154,1.3707456588745117
0,23,0.26981279253959656,1.4026541709899902,,,,
1,47,,,0.39481863379478455,1.376030683517456,0.3871389329433441,1.3602015972137451
1,47,0.3035924434661865,1.3882783651351929,,,,
2,71,,,0.4399645924568176,1.369014859199524,0.505281925201416,1.3346788883209229
2,71,0.35448476672172546,1.3726693391799927,,,,
3,95,,,0.4831245541572571,1.3651013374328613,0.6019351482391357,1.3141645193099976
3,95,0.37984728813171387,1.368207573890686,,,,
4,119,,,0.5273447632789612,1.3525748252868652,0.6680722832679749,1.2940583229064941
4,119,0.4460000991821289,1.354920744895935,,,,
5,143,,,0.5602905750274658,1.3415249586105347,0.6846367716789246,1.278159260749817
5,143,0.49102702736854553,1.3411612510681152,,,,
6,167,,,0.5548382997512817,1.3386324644088745,0.6901636123657227,1.2669634819030762
6,167,0.5073522925376892,1.3291500806808472,,,,
7,191,,,0.5734984874725342,1.330924153327942,0.7021353840827942,1.2511131763458252
7,191,0.5171875357627869,1.3211573362350464,,,,
8,215,,,0.5740848779678345,1.3092057704925537,0.7021353840827942,1.2333333492279053
8,215,0.5552496314048767,1.313212513923645,,,,
9,239,,,0.573819637298584,1.2978869676589966,0.7013223767280579,1.218231439590454
9,239,0.5537983775138855,1.3101909160614014,,,,
10,263,,,0.5675927400588989,1.2992212772369385,0.7021353840827942,1.2179627418518066
10,263,0.5759734511375427,1.3003549575805664,,,,
11,287,,,0.5743662118911743,1.2885998487472534,0.7021353840827942,1.207115650177002
11,287,0.5348307490348816,1.3080698251724243,,,,
12,311,,,0.5730318427085876,1.264499306678772,0.701029360294342,1.1839845180511475
12,311,0.5636649131774902,1.2740684747695923,,,,
13,335,,,0.5719847083091736,1.2506039142608643,0.7021353840827942,1.1699026823043823
13,335,0.5786500573158264,1.2533615827560425,,,,
14,359,,,0.568341076374054,1.2347744703292847,0.7000585198402405,1.142449140548706
14,359,0.5732540488243103,1.2451562881469727,,,,
15,383,,,0.5682309865951538,1.204848051071167,0.6965357661247253,1.124307632446289
15,383,0.5754758715629578,1.2194249629974365,,,,
16,407,,,0.5721482038497925,1.1730306148529053,0.7029100060462952,1.1031802892684937
16,407,0.6072108745574951,1.1980947256088257,,,,
17,431,,,0.6126156449317932,1.148473858833313,0.7039874196052551,1.0664275884628296
17,431,0.6079184412956238,1.1677967309951782,,,,
18,455,,,0.6424485445022583,1.1003891229629517,0.7091068029403687,1.0315617322921753
18,455,0.6305926442146301,1.1629947423934937,,,,
19,479,,,0.6682522296905518,1.0729999542236328,0.7153638601303101,0.9992413520812988
19,479,0.6388236284255981,1.104986310005188,,,,
20,503,,,0.70651775598526,1.0381958484649658,0.7622990608215332,0.9642997980117798
20,503,0.6544998288154602,1.0782556533813477,,,,
21,527,,,0.7210280895233154,1.0073261260986328,0.7670964002609253,0.92084801197052
21,527,0.6659824252128601,1.0529462099075317,,,,
22,551,,,0.7224557399749756,0.9720633625984192,0.8008975386619568,0.9112890958786011
22,551,0.6795777678489685,1.0179822444915771,,,,
23,575,,,0.7172600030899048,0.9359424114227295,0.8087871074676514,0.8615607023239136
23,575,0.6839256882667542,1.0059536695480347,,,,
24,599,,,0.7130652070045471,0.9068245887756348,0.7978793978691101,0.8331804275512695
24,599,0.7023038268089294,0.9605785012245178,,,,
25,623,,,0.7080614566802979,0.8787075877189636,0.8040338754653931,0.8028995394706726
25,623,0.6955795884132385,0.9638277888298035,,,,
26,647,,,0.7046911716461182,0.863028347492218,0.7958361506462097,0.7837614417076111
26,647,0.7066879868507385,0.9196957945823669,,,,
27,671,,,0.7061205506324768,0.8396188616752625,0.7857387065887451,0.7618159651756287
27,671,0.6832842230796814,0.9082615375518799,,,,
28,695,,,0.7018056511878967,0.8190069794654846,0.7890758514404297,0.7445448040962219
28,695,0.6886479258537292,0.8960943818092346,,,,
29,719,,,0.7004490494728088,0.8088384866714478,0.7870779037475586,0.7357656359672546
29,719,0.678519070148468,0.8946962356567383,,,,
30,743,,,0.7015537023544312,0.7841549515724182,0.7820601463317871,0.7340784072875977
30,743,0.6808590888977051,0.8738370537757874,,,,
31,767,,,0.6998032927513123,0.7786892652511597,0.7757384181022644,0.7241981625556946
31,767,0.701436460018158,0.8744258880615234,,,,
32,791,,,0.6914754509925842,0.7656420469284058,0.7762295007705688,0.7273445129394531
32,791,0.7133426666259766,0.8515665531158447,,,,
33,815,,,0.7123903036117554,0.7569361925125122,0.778213620185852,0.7096403241157532
33,815,0.6983639597892761,0.827296793460846,,,,
34,839,,,0.7096652984619141,0.7498233318328857,0.8106206655502319,0.6850549578666687
34,839,0.6931584477424622,0.8187219500541687,,,,
35,863,,,0.7243927121162415,0.7391948699951172,0.8340692520141602,0.6984233856201172
35,863,0.6854129433631897,0.814217746257782,,,,
36,887,,,0.75690096616745,0.7283381819725037,0.8278284072875977,0.6737465858459473
36,887,0.6923384070396423,0.8075341582298279,,,,
37,911,,,0.7563832402229309,0.7272228598594666,0.8068773150444031,0.6984987258911133
37,911,0.7069812417030334,0.8010867238044739,,,,
38,935,,,0.71357262134552,0.7211110591888428,0.8161041736602783,0.6864076852798462
38,935,0.7092716097831726,0.7979045510292053,,,,
39,959,,,0.749509334564209,0.7158821225166321,0.8330352306365967,0.6726494431495667
39,959,0.6584766507148743,0.8020505905151367,,,,
40,983,,,0.7718642950057983,0.7047123908996582,0.8230699896812439,0.6750009059906006
40,983,0.7097133994102478,0.7674270272254944,,,,
41,1007,,,0.7670935392379761,0.6970862150192261,0.8528250455856323,0.6794558763504028
41,1007,0.6881888508796692,0.781553328037262,,,,
42,1031,,,0.777497410774231,0.6916832327842712,0.8447446823120117,0.6642011404037476
42,1031,0.7021059393882751,0.7562593817710876,,,,
43,1055,,,0.7788640856742859,0.6823948621749878,0.8504760265350342,0.6636970639228821
43,1055,0.725548267364502,0.7583038210868835,,,,
44,1079,,,0.7700839042663574,0.6832890510559082,0.8379970192909241,0.6646686792373657
44,1079,0.6960110068321228,0.7400977611541748,,,,
