epoch,step,train_acc,train_class_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,,0.38847190141677856,1.3695319890975952,0.3647245168685913,1.365922212600708
0,23,0.3115156590938568,1.3701610565185547,1.3980861902236938,,,,
1,47,,,,0.41664382815361023,1.3651866912841797,0.4051675498485565,1.3565409183502197
1,47,0.30422666668891907,1.3692878484725952,1.3969640731811523,,,,
2,71,,,,0.44491034746170044,1.3601140975952148,0.5802144408226013,1.3430665731430054
2,71,0.33813831210136414,1.3629083633422852,1.3903592824935913,,,,
3,95,,,,0.5019102692604065,1.3573647737503052,0.6309868693351746,1.325847864151001
3,95,0.39996421337127686,1.3490114212036133,1.376228928565979,,,,
4,119,,,,0.5612500905990601,1.335824966430664,0.6643146872520447,1.3206443786621094
4,119,0.4177723824977875,1.3490194082260132,1.375992774963379,,,,
5,143,,,,0.5672992467880249,1.3312593698501587,0.66463702917099,1.2989352941513062
5,143,0.45044443011283875,1.3448256254196167,1.371656894683838,,,,
6,167,,,,0.5677043199539185,1.3240095376968384,0.6954459547996521,1.2796738147735596
6,167,0.48357781767845154,1.328871488571167,1.3556352853775024,,,,
7,191,,,,0.573819637298584,1.3138213157653809,0.6961856484413147,1.2688225507736206
7,191,0.5330511927604675,1.3158336877822876,1.3425949811935425,,,,
8,215,,,,0.573819637298584,1.3057808876037598,0.7021353840827942,1.2502069473266602
8,215,0.5596813559532166,1.3098574876785278,1.3365588188171387,,,,
9,239,,,,0.5750330686569214,1.2946141958236694,0.7021353840827942,1.2295358180999756
9,239,0.5506000518798828,1.2987521886825562,1.3254883289337158,,,,
10,263,,,,0.573819637298584,1.288041591644287,0.7021353840827942,1.22287118434906
10,263,0.5679492354393005,1.286965012550354,1.313653826713562,,,,
11,287,,,,0.573819637298584,1.2904926538467407,0.7021353840827942,1.2020741701126099
11,287,0.5526373982429504,1.2911062240600586,1.3175989389419556,,,,
12,311,,,,0.573819637298584,1.269470453262329,0.7021353840827942,1.1940268278121948
12,311,0.5692939162254333,1.2742801904678345,1.3005356788635254,,,,
13,335,,,,0.573819637298584,1.2508111000061035,0.7021353840827942,1.1765594482421875
13,335,0.5724202990531921,1.2600386142730713,1.2861677408218384,,,,
14,359,,,,0.573819637298584,1.230940818786621,0.7021353840827942,1.1712801456451416
14,359,0.5660853385925293,1.253761887550354,1.2798340320587158,,,,
15,383,,,,0.5732250213623047,1.2105461359024048,0.7021353840827942,1.13503098487854
15,383,0.5776625871658325,1.2280527353286743,1.2540037631988525,,,,
16,407,,,,0.5714763402938843,1.1856504678726196,0.7013223767280579,1.1203844547271729
16,407,0.5830082297325134,1.2133588790893555,1.2394474744796753,,,,
17,431,,,,0.5733238458633423,1.1671721935272217,0.6998428702354431,1.1015774011611938
17,431,0.5890665054321289,1.1932777166366577,1.2193629741668701,,,,
18,455,,,,0.5689480304718018,1.1416795253753662,0.7012488842010498,1.0770814418792725
18,455,0.5814408659934998,1.1678990125656128,1.194087028503418,,,,
19,479,,,,0.5624933242797852,1.1207369565963745,0.694134533405304,1.0409376621246338
19,479,0.5987831950187683,1.1458202600479126,1.1723898649215698,,,,
20,503,,,,0.5802295207977295,1.0733115673065186,0.6944877505302429,1.0179920196533203
20,503,0.5968766212463379,1.1210588216781616,1.1481162309646606,,,,
21,527,,,,0.6161825656890869,1.0541483163833618,0.6869449019432068,0.9841729402542114
