epoch,step,train_acc,train_diss_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,,0.37962037324905396,1.3883379697799683,0.3429647386074066,1.393768072128296
0,23,0.36908307671546936,0.03085789829492569,2.751654863357544,,,,
1,47,,,,0.37962037324905396,1.3835679292678833,0.3429647386074066,1.3856476545333862
1,47,0.36852338910102844,0.027206281200051308,2.7429630756378174,,,,
2,71,,,,0.37962037324905396,1.3799762725830078,0.3429647386074066,1.37929368019104
2,71,0.35315001010894775,0.024909278377890587,2.73824405670166,,,,
3,95,,,,0.37962037324905396,1.3767279386520386,0.3429647386074066,1.3733298778533936
3,95,0.34108495712280273,0.024067476391792297,2.727940559387207,,,,
4,119,,,,0.37962037324905396,1.3737841844558716,0.3429647386074066,1.3683079481124878
4,119,0.3329433500766754,0.024052822962403297,2.724334716796875,,,,
5,143,,,,0.37962037324905396,1.3713481426239014,0.3429647386074066,1.3641337156295776
5,143,0.36285367608070374,0.024238916113972664,2.715263605117798,,,,
6,167,,,,0.39900636672973633,1.3682758808135986,0.6920115351676941,1.359488606452942
6,167,0.34289297461509705,0.024718569591641426,2.7130165100097656,,,,
7,191,,,,0.7598237991333008,1.3650627136230469,0.743972897529602,1.355201244354248
7,191,0.42245373129844666,0.025806622579693794,2.7065012454986572,,,,
8,215,,,,0.5908297896385193,1.361289381980896,0.691645622253418,1.3493471145629883
8,215,0.4420206546783447,0.02555008977651596,2.6979920864105225,,,,
9,239,,,,0.5712793469429016,1.3564751148223877,0.7021353840827942,1.3420424461364746
9,239,0.5042088031768799,0.027312755584716797,2.68117356300354,,,,
10,263,,,,0.5683322548866272,1.3511962890625,0.7002163529396057,1.3354706764221191
10,263,0.5040915608406067,0.027883822098374367,2.676989793777466,,,,
11,287,,,,0.5630164742469788,1.3445212841033936,0.6930633187294006,1.3279634714126587
11,287,0.5367346405982971,0.02925323136150837,2.660576343536377,,,,
12,311,,,,0.5645496249198914,1.3364957571029663,0.6938566565513611,1.3186980485916138
12,311,0.5867388248443604,0.03000427968800068,2.6462249755859375,,,,
13,335,,,,0.5622700452804565,1.3249289989471436,0.6905402541160583,1.3050692081451416
13,335,0.568236768245697,0.030542371794581413,2.636873722076416,,,,
14,359,,,,0.5605297684669495,1.3095030784606934,0.6880863904953003,1.2860337495803833
14,359,0.5807021260261536,0.03444553539156914,2.6045212745666504,,,,
15,383,,,,0.5658792853355408,1.2889602184295654,0.6902815699577332,1.2621604204177856
15,383,0.6171324849128723,0.037112489342689514,2.5656068325042725,,,,
16,407,,,,0.5632032155990601,1.2637172937393188,0.6903326511383057,1.2304484844207764
16,407,0.6050358414649963,0.042082201689481735,2.519843816757202,,,,
17,431,,,,0.572228193283081,1.2369747161865234,0.6897338032722473,1.2016637325286865
17,431,0.6121727824211121,0.04610012471675873,2.4688196182250977,,,,
18,455,,,,0.5749672651290894,1.202209711074829,0.6917456984519958,1.1612486839294434
18,455,0.6202560067176819,0.05002449080348015,2.408306360244751,,,,
19,479,,,,0.6058435440063477,1.1657757759094238,0.6876546144485474,1.119521975517273
19,479,0.6300366520881653,0.05479550361633301,2.3520939350128174,,,,
20,503,,,,0.6608054637908936,1.1289222240447998,0.7202613949775696,1.085192322731018
20,503,0.6384425759315491,0.06089271232485771,2.2847602367401123,,,,
21,527,,,,0.6649179458618164,1.0840483903884888,0.7269770503044128,1.038123369216919
21,527,0.6730096340179443,0.06122971698641777,2.1839663982391357,,,,
