epoch,step,train_acc,train_div_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,,0.3186028301715851,1.3907470703125,0.16918401420116425,1.402620553970337
0,23,0.2796918451786041,0.0042001064866781235,2.7886297702789307,,,,
1,47,,,,0.3186028301715851,1.3864355087280273,0.16918401420116425,1.394775390625
1,47,0.2893517315387726,0.0037136413156986237,2.7783148288726807,,,,
2,71,,,,0.3186028301715851,1.3821136951446533,0.16918401420116425,1.3869898319244385
2,71,0.266117125749588,0.006243046373128891,2.771521806716919,,,,
3,95,,,,0.3186028301715851,1.377242922782898,0.16918401420116425,1.378275752067566
3,95,0.29230090975761414,0.0065704756416380405,2.7584803104400635,,,,
4,119,,,,0.5607815980911255,1.371974229812622,0.7021353840827942,1.368363618850708
4,119,0.29620301723480225,0.007403056602925062,2.7465221881866455,,,,
5,143,,,,0.573819637298584,1.3659428358078003,0.7021353840827942,1.3568267822265625
5,143,0.3808816969394684,0.01144352089613676,2.7326390743255615,,,,
6,167,,,,0.573819637298584,1.3600211143493652,0.7021353840827942,1.345472812652588
6,167,0.3893103301525116,0.014666728675365448,2.724637985229492,,,,
7,191,,,,0.573819637298584,1.3537652492523193,0.7021353840827942,1.333253264427185
7,191,0.4129205644130707,0.012362831272184849,2.712214231491089,,,,
8,215,,,,0.573819637298584,1.3469911813735962,0.7021353840827942,1.319065809249878
8,215,0.4669605493545532,0.012921086512506008,2.6953279972076416,,,,
9,239,,,,0.573819637298584,1.3406635522842407,0.7021353840827942,1.3063633441925049
9,239,0.4685920476913452,0.013484922237694263,2.6872193813323975,,,,
10,263,,,,0.573819637298584,1.3349204063415527,0.7021353840827942,1.2955167293548584
10,263,0.5010892152786255,0.015008091926574707,2.680309534072876,,,,
11,287,,,,0.573819637298584,1.3289178609848022,0.7021353840827942,1.284225344657898
11,287,0.4932493269443512,0.019827494397759438,2.663926362991333,,,,
12,311,,,,0.573819637298584,1.3229999542236328,0.7021353840827942,1.2737499475479126
12,311,0.5323430895805359,0.026439229026436806,2.6441991329193115,,,,
13,335,,,,0.573819637298584,1.3165483474731445,0.7021353840827942,1.2630525827407837
13,335,0.5370383262634277,0.03488108888268471,2.6280436515808105,,,,
14,359,,,,0.573819637298584,1.3096235990524292,0.7021353840827942,1.252632975578308
14,359,0.5637922286987305,0.027477791532874107,2.6304638385772705,,,,
15,383,,,,0.573819637298584,1.30185866355896,0.7021353840827942,1.242506742477417
15,383,0.5601137280464172,0.030015742406249046,2.599466562271118,,,,
16,407,,,,0.573819637298584,1.294053077697754,0.7021353840827942,1.2329597473144531
16,407,0.5655311942100525,0.030393624678254128,2.5959887504577637,,,,
17,431,,,,0.573819637298584,1.2850908041000366,0.7021353840827942,1.2234630584716797
17,431,0.5722057223320007,0.02451452612876892,2.580850601196289,,,,
18,455,,,,0.573819637298584,1.2761235237121582,0.7021353840827942,1.2153724431991577
18,455,0.5682545304298401,0.026194460690021515,2.5792672634124756,,,,
19,479,,,,0.573819637298584,1.265798568725586,0.7021353840827942,1.2040064334869385
19,479,0.5802287459373474,0.02567954547703266,2.543513774871826,,,,
20,503,,,,0.573819637298584,1.253833293914795,0.7021353840827942,1.1917927265167236
20,503,0.5759382843971252,0.024344222620129585,2.5254619121551514,,,,
21,527,,,,0.558434009552002,1.2400283813476562,0.7021353840827942,1.1776418685913086
21,527,0.5823995471000671,0.033422574400901794,2.513643741607666,,,,
22,551,,,,0.5625039339065552,1.2243452072143555,0.6939290761947632,1.1630452871322632
22,551,0.5888238549232483,0.035861942917108536,2.4783272743225098,,,,
23,575,,,,0.5617448091506958,1.2064926624298096,0.6886301636695862,1.1475985050201416
23,575,0.5829190611839294,0.036096375435590744,2.4414515495300293,,,,
24,599,,,,0.5606659054756165,1.1887047290802002,0.6866360902786255,1.1290684938430786
24,599,0.5994129180908203,0.025584520772099495,2.4346535205841064,,,,
25,623,,,,0.5735501050949097,1.1684250831604004,0.6814913153648376,1.1065330505371094
25,623,0.6164417862892151,0.03675861656665802,2.368157148361206,,,,
26,647,,,,0.5851391553878784,1.1470987796783447,0.6900479793548584,1.0879583358764648
26,647,0.6101700067520142,0.037806738168001175,2.358396053314209,,,,
27,671,,,,0.628108024597168,1.1247358322143555,0.6981143355369568,1.0657424926757812
27,671,0.619961142539978,0.041811589151620865,2.311093330383301,,,,
28,695,,,,0.6645164489746094,1.1015325784683228,0.7160407304763794,1.047839879989624
28,695,0.6357557773590088,0.03963521495461464,2.280169725418091,,,,
29,719,,,,0.6683111190795898,1.0756829977035522,0.7175827622413635,1.0219323635101318
29,719,0.6478304266929626,0.047966938465833664,2.2497403621673584,,,,
30,743,,,,0.6807042360305786,1.0506056547164917,0.7263625860214233,0.9953657388687134
30,743,0.656482458114624,0.04489804804325104,2.1816022396087646,,,,
31,767,,,,0.6926374435424805,1.023971438407898,0.7436063289642334,0.968550980091095
31,767,0.658159613609314,0.045003458857536316,2.118274450302124,,,,
32,791,,,,0.6952251195907593,0.9977877736091614,0.7750654816627502,0.9460653066635132
32,791,0.6669875979423523,0.062015414237976074,2.1171066761016846,,,,
33,815,,,,0.7039850950241089,0.971673309803009,0.8099062442779541,0.9273282885551453
33,815,0.6539227962493896,0.05927320942282677,2.05753231048584,,,,
34,839,,,,0.7037389278411865,0.9481213688850403,0.8351707458496094,0.907183051109314
34,839,0.6772493720054626,0.07180801033973694,2.025679349899292,,,,
35,863,,,,0.7646152973175049,0.9218489527702332,0.8237811923027039,0.8718424439430237
35,863,0.6756779551506042,0.06696787476539612,1.972784399986267,,,,
36,887,,,,0.781025767326355,0.8970847129821777,0.8623616099357605,0.8576600551605225
36,887,0.6935266852378845,0.06851650774478912,1.9464993476867676,,,,
37,911,,,,0.783435583114624,0.876975417137146,0.8823570013046265,0.8349717855453491
37,911,0.6801824569702148,0.05597999691963196,1.9181022644042969,,,,
38,935,,,,0.7844763994216919,0.8563925623893738,0.87424635887146,0.8173514604568481
38,935,0.702267587184906,0.09625736624002457,1.8779035806655884,,,,
39,959,,,,0.7607529163360596,0.836995005607605,0.866004467010498,0.8004254698753357
39,959,0.6989080905914307,0.11371922492980957,1.827224612236023,,,,
40,983,,,,0.7296058535575867,0.8215075135231018,0.8612041473388672,0.7902616262435913
40,983,0.6931149959564209,0.1193544864654541,1.8247359991073608,,,,
41,1007,,,,0.7121403217315674,0.8067111968994141,0.848827600479126,0.7825134992599487
41,1007,0.6909244656562805,0.1341141313314438,1.7985278367996216,,,,
42,1031,,,,0.7121403217315674,0.7927932739257812,0.848827600479126,0.7619217038154602
42,1031,0.6798661351203918,0.11765718460083008,1.7760496139526367,,,,
43,1055,,,,0.7088658809661865,0.7777376770973206,0.8466230034828186,0.7511518001556396
43,1055,0.6938422322273254,0.10019800812005997,1.7390655279159546,,,,
44,1079,,,,0.6891813278198242,0.766663670539856,0.8349943161010742,0.7482476234436035
44,1079,0.7161081433296204,0.11567573994398117,1.7142452001571655,,,,
45,1103,,,,0.7009667754173279,0.7555863857269287,0.8468124270439148,0.72041916847229
45,1103,0.7058196067810059,0.12018301337957382,1.6784148216247559,,,,
46,1127,,,,0.6891813278198242,0.7466496825218201,0.8264440298080444,0.7190006375312805
46,1127,0.7052813172340393,0.12770207226276398,1.704147219657898,,,,
47,1151,,,,0.6904667019844055,0.7398116588592529,0.822646975517273,0.7136719226837158
47,1151,0.7134971022605896,0.14055882394313812,1.7185816764831543,,,,
48,1175,,,,0.6805965304374695,0.7329750061035156,0.8096799850463867,0.7119193077087402
48,1175,0.7138529419898987,0.11963357776403427,1.6366547346115112,,,,
49,1199,,,,0.6824051141738892,0.7265478372573853,0.8184306621551514,0.7027760744094849
49,1199,0.6968109011650085,0.17162351310253143,1.698328971862793,,,,
50,1223,,,,0.6824051141738892,0.7203294038772583,0.8179082870483398,0.7017090916633606
50,1223,0.7035964131355286,0.15447282791137695,1.6479204893112183,,,,
