epoch,step,train_dis_loss,train_tgt_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,0.3596997559070587,1.4098941087722778,0.19807346165180206,1.4374897480010986
0,23,1.3679016828536987,0.6480644941329956,,,,
1,47,,,0.35647857189178467,1.4173462390899658,0.20483094453811646,1.431349754333496
1,47,1.3772834539413452,0.6457640528678894,,,,
2,71,,,0.3460380733013153,1.4070736169815063,0.20904351770877838,1.4393045902252197
2,71,1.3702481985092163,0.6491684317588806,,,,
3,95,,,0.3646868169307709,1.4089778661727905,0.21242095530033112,1.4381955862045288
3,95,1.3669971227645874,0.6480382680892944,,,,
4,119,,,0.3689822852611542,1.4142452478408813,0.2124178111553192,1.4403172731399536
4,119,1.3721576929092407,0.6469390392303467,,,,
5,143,,,0.36289823055267334,1.4193161725997925,0.20764027535915375,1.4447647333145142
5,143,1.3645572662353516,0.6489675045013428,,,,
6,167,,,0.36733248829841614,1.4184967279434204,0.19957704842090607,1.43819260597229
6,167,1.3616911172866821,0.6429316401481628,,,,
7,191,,,0.36410996317863464,1.4141786098480225,0.22086948156356812,1.4349693059921265
7,191,1.3745588064193726,0.6386110782623291,,,,
8,215,,,0.35465070605278015,1.4084293842315674,0.20716328918933868,1.4389629364013672
8,215,1.3825840950012207,0.640690267086029,,,,
9,239,,,0.3560844957828522,1.4115791320800781,0.21276724338531494,1.4392248392105103
9,239,1.3726083040237427,0.6470493674278259,,,,
10,263,,,0.34795987606048584,1.4097908735275269,0.21681928634643555,1.4469116926193237
10,263,1.3531957864761353,0.6450862884521484,,,,
11,287,,,0.36172616481781006,1.417778730392456,0.20999865233898163,1.4393366575241089
11,287,1.367174744606018,0.6433575749397278,,,,
12,311,,,0.36192968487739563,1.4242182970046997,0.2098623514175415,1.4374456405639648
12,311,1.375105857849121,0.6420404314994812,,,,
13,335,,,0.3698612451553345,1.40232253074646,0.2097449153661728,1.4427495002746582
13,335,1.357098937034607,0.6472964882850647,,,,
14,359,,,0.3801276981830597,1.4154412746429443,0.2134384959936142,1.4392447471618652
14,359,1.362030029296875,0.6435211300849915,,,,
15,383,,,0.3630695939064026,1.4209147691726685,0.21553146839141846,1.4380559921264648
15,383,1.3732633590698242,0.6402177214622498,,,,
16,407,,,0.3596206605434418,1.4144213199615479,0.21650190651416779,1.4345179796218872
16,407,1.3749340772628784,0.6359038949012756,,,,
17,431,,,0.36890822649002075,1.4246423244476318,0.2055732160806656,1.4363378286361694
17,431,1.358544945716858,0.6414823532104492,,,,
18,455,,,0.3773882985115051,1.420747995376587,0.20903417468070984,1.4453246593475342
18,455,1.3905771970748901,0.6453438401222229,,,,
19,479,,,0.35565945506095886,1.4252790212631226,0.2205478996038437,1.4319109916687012
19,479,1.3607220649719238,0.6456681489944458,,,,
20,503,,,0.35065171122550964,1.4186573028564453,0.20487245917320251,1.4392640590667725
20,503,1.3651137351989746,0.633101761341095,,,,
21,527,,,0.36070314049720764,1.4308760166168213,0.21659183502197266,1.4412933588027954
21,527,1.3725768327713013,0.6408973932266235,,,,
22,551,,,0.3588162064552307,1.4221410751342773,0.22122031450271606,1.4358696937561035
22,551,1.375102162361145,0.6430330872535706,,,,
23,575,,,0.3780956566333771,1.4201840162277222,0.20924469828605652,1.4360461235046387
23,575,1.3688554763793945,0.6451365947723389,,,,
24,599,,,0.3633142113685608,1.4308841228485107,0.21168717741966248,1.4449529647827148
24,599,1.3820648193359375,0.63575679063797,,,,
25,623,,,0.3717481195926666,1.4308719635009766,0.20869649946689606,1.4411461353302002
25,623,1.370357871055603,0.6353136897087097,,,,
26,647,,,0.37444788217544556,1.4216885566711426,0.20439010858535767,1.438793659210205
26,647,1.3615113496780396,0.6489945650100708,,,,
27,671,,,0.3610300123691559,1.422204613685608,0.21234795451164246,1.4419422149658203
27,671,1.3478351831436157,0.6377314329147339,,,,
28,695,,,0.3614870011806488,1.4197741746902466,0.21084772050380707,1.4378316402435303
28,695,1.366055965423584,0.6456224918365479,,,,
29,719,,,0.36865904927253723,1.4315046072006226,0.21132369339466095,1.4387140274047852
29,719,1.3733712434768677,0.6397280097007751,,,,
30,743,,,0.36160773038864136,1.427230954170227,0.21699143946170807,1.4451371431350708
30,743,1.3604332208633423,0.6361467242240906,,,,
31,767,,,0.3813088834285736,1.4286843538284302,0.2238667607307434,1.4362130165100098
31,767,1.3929920196533203,0.637837827205658,,,,
32,791,,,0.3707689046859741,1.4343749284744263,0.20522935688495636,1.4410908222198486
32,791,1.361411452293396,0.6386143565177917,,,,
33,815,,,0.36375051736831665,1.4191527366638184,0.2183852344751358,1.441803216934204
33,815,1.3623145818710327,0.6372236609458923,,,,
34,839,,,0.35717976093292236,1.430953860282898,0.21469919383525848,1.4399083852767944
34,839,1.378792405128479,0.6446070075035095,,,,
35,863,,,0.35652607679367065,1.4228792190551758,0.21485015749931335,1.43418288230896
35,863,1.373914361000061,0.6274127960205078,,,,
36,887,,,0.3774363696575165,1.4275778532028198,0.20912036299705505,1.4417132139205933
36,887,1.3762716054916382,0.6464230418205261,,,,
37,911,,,0.37156155705451965,1.4407621622085571,0.22169871628284454,1.4381893873214722
37,911,1.3817687034606934,0.6355838775634766,,,,
38,935,,,0.36067280173301697,1.4314043521881104,0.21365799009799957,1.444633960723877
38,935,1.3752409219741821,0.6411986351013184,,,,
39,959,,,0.37330740690231323,1.4226458072662354,0.21918413043022156,1.448089361190796
39,959,1.3645048141479492,0.6505603194236755,,,,
40,983,,,0.38374727964401245,1.4390815496444702,0.2109944373369217,1.440917730331421
