epoch,step,train_acc,train_class_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,,0.2844494879245758,1.377007007598877,0.30024197697639465,1.3623522520065308
0,23,0.2903139293193817,1.372795581817627,1.400351881980896,,,,
1,47,,,,0.32883715629577637,1.3744103908538818,0.3654075860977173,1.3608132600784302
1,47,0.30134832859039307,1.3728119134902954,1.4000029563903809,,,,
2,71,,,,0.409311443567276,1.3622061014175415,0.46830183267593384,1.348902940750122
2,71,0.3346606492996216,1.3675956726074219,1.3944954872131348,,,,
3,95,,,,0.47104448080062866,1.3558359146118164,0.6104045510292053,1.3336962461471558
3,95,0.3539857864379883,1.362560749053955,1.3891997337341309,,,,
4,119,,,,0.5229765772819519,1.3500480651855469,0.6441043615341187,1.3180227279663086
4,119,0.37963294982910156,1.353163719177246,1.3795453310012817,,,,
5,143,,,,0.5633354187011719,1.3325607776641846,0.6791689395904541,1.2930598258972168
5,143,0.4198225736618042,1.3505233526229858,1.376608967781067,,,,
6,167,,,,0.5734902620315552,1.3329927921295166,0.6894953846931458,1.2813317775726318
6,167,0.43520376086235046,1.336300015449524,1.3621459007263184,,,,
7,191,,,,0.5671823024749756,1.3290330171585083,0.6943989396095276,1.2796193361282349
7,191,0.4521976411342621,1.3270299434661865,1.3526467084884644,,,,
8,215,,,,0.573819637298584,1.3278714418411255,0.7021353840827942,1.263647437095642
8,215,0.5210241079330444,1.31415593624115,1.3394964933395386,,,,
9,239,,,,0.573819637298584,1.3175536394119263,0.6962446570396423,1.2476195096969604
9,239,0.5120965838432312,1.308326244354248,1.333487629890442,,,,
10,263,,,,0.573819637298584,1.3112218379974365,0.7021353840827942,1.227121114730835
10,263,0.5253675580024719,1.3050986528396606,1.3299511671066284,,,,
11,287,,,,0.573819637298584,1.3004393577575684,0.7021353840827942,1.2242774963378906
11,287,0.5531498789787292,1.3008756637573242,1.3255621194839478,,,,
12,311,,,,0.573819637298584,1.2826098203659058,0.7021353840827942,1.2099207639694214
12,311,0.5489429831504822,1.2861722707748413,1.3106952905654907,,,,
13,335,,,,0.573819637298584,1.2814486026763916,0.7021353840827942,1.2020082473754883
13,335,0.5440547466278076,1.2769832611083984,1.3012351989746094,,,,
14,359,,,,0.5724853277206421,1.277052402496338,0.7021353840827942,1.1986600160598755
14,359,0.5653029084205627,1.277841329574585,1.3019304275512695,,,,
15,383,,,,0.573819637298584,1.2565937042236328,0.7021353840827942,1.1668626070022583
15,383,0.5757881999015808,1.2486916780471802,1.2727054357528687,,,,
16,407,,,,0.5737072229385376,1.2355607748031616,0.6996961832046509,1.142298936843872
16,407,0.5777179002761841,1.2530916929244995,1.2771692276000977,,,,
17,431,,,,0.573020339012146,1.2151821851730347,0.6985216736793518,1.1239025592803955
17,431,0.573847234249115,1.2227401733398438,1.2467554807662964,,,,
18,455,,,,0.5698367357254028,1.1813896894454956,0.6972030997276306,1.0987637042999268
18,455,0.575431764125824,1.2142993211746216,1.2383521795272827,,,,
19,479,,,,0.5591012239456177,1.156166434288025,0.6949623823165894,1.076615810394287
19,479,0.587100625038147,1.1950873136520386,1.2193055152893066,,,,
20,503,,,,0.5726796984672546,1.1226351261138916,0.689195454120636,1.0477691888809204
20,503,0.5946971774101257,1.149446725845337,1.173932671546936,,,,
21,527,,,,0.5735182166099548,1.0850032567977905,0.6911830306053162,1.0148975849151611
21,527,0.6009436249732971,1.1272473335266113,1.1520442962646484,,,,
22,551,,,,0.6194261312484741,1.0545588731765747,0.7009090781211853,0.9806650876998901
22,551,0.6008809208869934,1.096843957901001,1.1219562292099,,,,
23,575,,,,0.6394280195236206,1.0217573642730713,0.7123048305511475,0.951813280582428
23,575,0.6210089921951294,1.062612771987915,1.0882097482681274,,,,
24,599,,,,0.7029290795326233,0.9787757396697998,0.7481415271759033,0.9172632694244385
24,599,0.6246371865272522,1.038629174232483,1.0645043849945068,,,,
25,623,,,,0.7387025952339172,0.9320989847183228,0.7547163963317871,0.8663285374641418
25,623,0.6541630029678345,0.9924592971801758,1.019187569618225,,,,
26,647,,,,0.7534956336021423,0.9031590223312378,0.8209195137023926,0.8520457744598389
26,647,0.6842578053474426,0.9539340138435364,0.9812679886817932,,,,
27,671,,,,0.7394553422927856,0.8775544762611389,0.7966933250427246,0.8039730787277222
27,671,0.643894374370575,0.9667773842811584,0.9945952296257019,,,,
28,695,,,,0.7403513193130493,0.8456772565841675,0.825139045715332,0.7952410578727722
28,695,0.6623530983924866,0.9214820861816406,0.9500629305839539,,,,
29,719,,,,0.7385582327842712,0.8165453672409058,0.8304175138473511,0.7645877003669739
29,719,0.6796672344207764,0.8915382027626038,0.920663058757782,,,,
30,743,,,,0.7150827050209045,0.792869508266449,0.8231468200683594,0.7603514790534973
30,743,0.6785456538200378,0.8856217265129089,0.9154714941978455,,,,
31,767,,,,0.7270909547805786,0.777062714099884,0.8212848901748657,0.7443735003471375
31,767,0.6837811470031738,0.8718538880348206,0.9018973708152771,,,,
32,791,,,,0.716599702835083,0.7644180059432983,0.8324729800224304,0.7366873621940613
32,791,0.692537248134613,0.8398134112358093,0.8705968856811523,,,,
33,815,,,,0.7108640074729919,0.7471324801445007,0.8126423358917236,0.7421269416809082
33,815,0.6863667964935303,0.8359072208404541,0.8670046925544739,,,,
34,839,,,,0.7093327641487122,0.7393196225166321,0.8341271877288818,0.7160824537277222
34,839,0.6884714961051941,0.8276195526123047,0.8590306639671326,,,,
35,863,,,,0.7018284797668457,0.7247646450996399,0.8384462594985962,0.7105441689491272
35,863,0.6871258616447449,0.800755500793457,0.8329110741615295,,,,
36,887,,,,0.7450832724571228,0.7146130800247192,0.8441497683525085,0.6653405427932739
36,887,0.6854868531227112,0.8292513489723206,0.8614401817321777,,,,
37,911,,,,0.7336614727973938,0.7056208848953247,0.8271105289459229,0.6793543100357056
37,911,0.6949939131736755,0.8078279495239258,0.8404541611671448,,,,
38,935,,,,0.718672513961792,0.6970517635345459,0.8285632729530334,0.699478805065155
38,935,0.696997880935669,0.7851366400718689,0.8184103965759277,,,,
39,959,,,,0.7542036771774292,0.6881794929504395,0.8603389263153076,0.6582735776901245
39,959,0.6941114068031311,0.7690979838371277,0.8024404644966125,,,,
40,983,,,,0.7295774221420288,0.6779855489730835,0.8259008526802063,0.6610618829727173
40,983,0.7064334750175476,0.767863929271698,0.8014946579933167,,,,
41,1007,,,,0.7587934732437134,0.6804214715957642,0.8470115065574646,0.6826470494270325
41,1007,0.688847541809082,0.7556245923042297,0.7895615696907043,,,,
42,1031,,,,0.7570393085479736,0.6680651903152466,0.8503063917160034,0.6444125175476074
42,1031,0.7064822316169739,0.7280964851379395,0.7627692222595215,,,,
43,1055,,,,0.7558324337005615,0.6591231226921082,0.8410615921020508,0.6710659861564636
43,1055,0.7175168395042419,0.7344855666160583,0.7688881754875183,,,,
44,1079,,,,0.7665830850601196,0.6644853949546814,0.8555137515068054,0.6589876413345337
44,1079,0.6964796185493469,0.7340867519378662,0.7686788439750671,,,,
45,1103,,,,0.7839643955230713,0.6516772508621216,0.8637251853942871,0.6478727459907532
45,1103,0.6859514117240906,0.7420985102653503,0.7769923806190491,,,,
46,1127,,,,0.7787988781929016,0.6576612591743469,0.8533904552459717,0.6597626805305481
46,1127,0.6916897296905518,0.731133222579956,0.7661080360412598,,,,
47,1151,,,,0.7632764577865601,0.6516873240470886,0.8551862239837646,0.6769458651542664
47,1151,0.6888768076896667,0.7180891633033752,0.7530713081359863,,,,
48,1175,,,,0.7653992772102356,0.6420647501945496,0.8641033172607422,0.6487084031105042
48,1175,0.7073046565055847,0.7126152515411377,0.7482333779335022,,,,
49,1199,,,,0.7759372591972351,0.6371273994445801,0.8804665207862854,0.652072548866272
49,1199,0.701508104801178,0.7215151786804199,0.7566509246826172,,,,
50,1223,,,,0.8054941296577454,0.6323262453079224,0.8488092422485352,0.6440577507019043
50,1223,0.6784681677818298,0.7251989841461182,0.7604043483734131,,,,
51,1247,,,,0.78872150182724,0.63102126121521,0.845829427242279,0.6491724848747253
51,1247,0.7025447487831116,0.7002665996551514,0.7365190386772156,,,,
52,1271,,,,0.7935171127319336,0.6322497129440308,0.852863073348999,0.6620975732803345
52,1271,0.6968967318534851,0.6991739273071289,0.734731137752533,,,,
53,1295,,,,0.8002145290374756,0.6256666779518127,0.8505544662475586,0.6550382375717163
53,1295,0.7012979388237,0.6793191432952881,0.7156808376312256,,,,
54,1319,,,,0.833827018737793,0.620034396648407,0.8646419048309326,0.6434544324874878
54,1319,0.6961069107055664,0.6899293065071106,0.7259414196014404,,,,
55,1343,,,,0.8111953735351562,0.6246100068092346,0.8564670085906982,0.6688193082809448
55,1343,0.7025987505912781,0.6868583559989929,0.7227485775947571,,,,
56,1367,,,,0.7719753980636597,0.6174569725990295,0.8421996831893921,0.6585314273834229
56,1367,0.704699695110321,0.6677598357200623,0.704233705997467,,,,
57,1391,,,,0.8253371715545654,0.609151303768158,0.8416069746017456,0.6504491567611694
57,1391,0.6974069476127625,0.6743380427360535,0.7105703949928284,,,,
58,1415,,,,0.7919007539749146,0.6111518144607544,0.8464280366897583,0.6506821513175964
58,1415,0.7089136242866516,0.6799773573875427,0.7161657214164734,,,,
59,1439,,,,0.8193021416664124,0.6041171550750732,0.8399885296821594,0.6715636253356934
59,1439,0.6952515244483948,0.674273669719696,0.7110677361488342,,,,
60,1463,,,,0.7871114611625671,0.6068933606147766,0.8422864079475403,0.6410201191902161
60,1463,0.7168955206871033,0.6724369525909424,0.7092133164405823,,,,
61,1487,,,,0.8040893077850342,0.6026406288146973,0.8563475608825684,0.6505109071731567
61,1487,0.709726095199585,0.6581178307533264,0.6948835253715515,,,,
62,1511,,,,0.8024898171424866,0.6027279496192932,0.8625046014785767,0.6194184422492981
62,1511,0.7118756175041199,0.6614992618560791,0.69813472032547,,,,
63,1535,,,,0.7850046753883362,0.5999742150306702,0.8003110289573669,0.6932079195976257
63,1535,0.7061481475830078,0.6646912693977356,0.7015554308891296,,,,
64,1559,,,,0.8095803260803223,0.5987017750740051,0.8122127652168274,0.6479361057281494
64,1559,0.6910755634307861,0.6575704216957092,0.6949765086174011,,,,
65,1583,,,,0.8078051209449768,0.5930968523025513,0.8601133227348328,0.6352536082267761
65,1583,0.6941946148872375,0.664774477481842,0.7016608715057373,,,,
66,1607,,,,0.8194355964660645,0.5897800326347351,0.8550474047660828,0.6528440117835999
66,1607,0.7044633030891418,0.6458789110183716,0.6823465824127197,,,,
67,1631,,,,0.7808058857917786,0.5962414145469666,0.8579224348068237,0.6411489844322205
67,1631,0.7060542106628418,0.6541972756385803,0.6911943554878235,,,,
68,1655,,,,0.8188766241073608,0.5837938785552979,0.8574390411376953,0.6479893922805786
68,1655,0.7077884674072266,0.6380873322486877,0.6749789118766785,,,,
69,1679,,,,0.8244237899780273,0.587928295135498,0.8472050428390503,0.6589349508285522
69,1679,0.7101077437400818,0.6451143622398376,0.6820197701454163,,,,
70,1703,,,,0.8342218399047852,0.588756799697876,0.8520199060440063,0.6327667832374573
70,1703,0.711165189743042,0.6321442723274231,0.6695448756217957,,,,
71,1727,,,,0.8008955121040344,0.5797080993652344,0.8427066802978516,0.6390802264213562
71,1727,0.7031328082084656,0.6370430588722229,0.674245297908783,,,,
72,1751,,,,0.8171156644821167,0.5821923017501831,0.8218449950218201,0.6377001404762268
72,1751,0.6978228688240051,0.6409211158752441,0.6784902215003967,,,,
73,1775,,,,0.7725622653961182,0.5833091139793396,0.8080533146858215,0.6482519507408142
73,1775,0.700459897518158,0.6218767762184143,0.6588584184646606,,,,
74,1799,,,,0.820386528968811,0.5737324953079224,0.7977664470672607,0.6670625805854797
74,1799,0.7065377235412598,0.6227482557296753,0.6596481800079346,,,,
75,1823,,,,0.8058339357376099,0.5716063976287842,0.855741024017334,0.6160326600074768
75,1823,0.7051377892494202,0.6427885293960571,0.6798980832099915,,,,
76,1847,,,,0.8231759071350098,0.5705032348632812,0.81235271692276,0.6867770552635193
76,1847,0.702768862247467,0.6238802671432495,0.6613571047782898,,,,
77,1871,,,,0.7918426990509033,0.5706611275672913,0.7967924475669861,0.6384176015853882
77,1871,0.6991807818412781,0.6263356804847717,0.6641400456428528,,,,
78,1895,,,,0.8112908601760864,0.5683041214942932,0.8122193813323975,0.6706345677375793
78,1895,0.6994277834892273,0.6132225394248962,0.650806188583374,,,,
79,1919,,,,0.8296414017677307,0.5650594234466553,0.8211819529533386,0.6457476019859314
79,1919,0.724583089351654,0.6201774477958679,0.6573487520217896,,,,
80,1943,,,,0.8278436660766602,0.5597876310348511,0.8326456546783447,0.6192999482154846
80,1943,0.7125865817070007,0.6225528120994568,0.6599058508872986,,,,
81,1967,,,,0.8116198182106018,0.5626673102378845,0.7960911989212036,0.667272686958313
81,1967,0.7061821818351746,0.604947030544281,0.6417281031608582,,,,
82,1991,,,,0.8359082341194153,0.5605188608169556,0.8296629190444946,0.6311970949172974
82,1991,0.7189198136329651,0.5969380736351013,0.6347635388374329,,,,
83,2015,,,,0.807579755783081,0.5540390014648438,0.8217166662216187,0.6442752480506897
83,2015,0.7192137837409973,0.6052672863006592,0.6427949070930481,,,,
84,2039,,,,0.7872814536094666,0.557692289352417,0.8148354291915894,0.6287440061569214
84,2039,0.7412917017936707,0.5940003395080566,0.6315082907676697,,,,
85,2063,,,,0.8281804323196411,0.5464400053024292,0.8234266042709351,0.6586952209472656
85,2063,0.7147271633148193,0.6047510504722595,0.6418363451957703,,,,
86,2087,,,,0.8261673450469971,0.5553476810455322,0.8300385475158691,0.6292956471443176
86,2087,0.7180180549621582,0.6146278381347656,0.6514082551002502,,,,
87,2111,,,,0.8087785243988037,0.5578166842460632,0.7691247463226318,0.6492717266082764
87,2111,0.7283925414085388,0.5974308252334595,0.6331716179847717,,,,
88,2135,,,,0.7768775224685669,0.5514213442802429,0.7967961430549622,0.6413832306861877
88,2135,0.7350859045982361,0.5906954407691956,0.6272507309913635,,,,
89,2159,,,,0.8315714597702026,0.5465781092643738,0.8305431604385376,0.6122602820396423
89,2159,0.7424649596214294,0.5786279439926147,0.6161635518074036,,,,
90,2183,,,,0.8336343169212341,0.5366359353065491,0.8176078796386719,0.6525264978408813
90,2183,0.7346842885017395,0.5933750867843628,0.631034791469574,,,,
91,2207,,,,0.8661767244338989,0.5337761640548706,0.8351294994354248,0.6175634860992432
91,2207,0.728442370891571,0.6011313199996948,0.6383145451545715,,,,
92,2231,,,,0.8422456383705139,0.5372636914253235,0.8103088140487671,0.6461256146430969
