epoch,step,train_acc,train_class_loss,train_total_loss,val_src_acc,val_src_class_loss,val_tgt_acc,val_tgt_class_loss
0,23,,,,0.4206475019454956,1.3528720140457153,0.4229860007762909,1.3145935535430908
0,23,0.4022100269794464,1.3477054834365845,1.37445867061615,,,,
1,47,,,,0.42969879508018494,1.3533803224563599,0.44379594922065735,1.3128798007965088
1,47,0.4043789207935333,1.3353391885757446,1.3617748022079468,,,,
2,71,,,,0.4568319320678711,1.3403148651123047,0.555844247341156,1.2955178022384644
2,71,0.4477331340312958,1.338940978050232,1.365104079246521,,,,
3,95,,,,0.4808580279350281,1.3359177112579346,0.6023216247558594,1.2916951179504395
3,95,0.4559340178966522,1.336761474609375,1.3627386093139648,,,,
4,119,,,,0.5100423097610474,1.337567925453186,0.6216115951538086,1.280466079711914
4,119,0.5079185366630554,1.321939468383789,1.347774863243103,,,,
5,143,,,,0.546905517578125,1.3278261423110962,0.6760506629943848,1.2671388387680054
5,143,0.5222765803337097,1.3212298154830933,1.3468507528305054,,,,
6,167,,,,0.5667337775230408,1.325058937072754,0.6777562499046326,1.2594857215881348
6,167,0.5254155993461609,1.3194489479064941,1.3448796272277832,,,,
7,191,,,,0.5521600246429443,1.331443190574646,0.6627753376960754,1.2514779567718506
7,191,0.5534588694572449,1.3140367269515991,1.3392540216445923,,,,
8,215,,,,0.5662820339202881,1.3201243877410889,0.701029360294342,1.2483913898468018
8,215,0.5569146275520325,1.3070536851882935,1.3321458101272583,,,,
9,239,,,,0.5732313394546509,1.3214889764785767,0.7021353840827942,1.2429982423782349
9,239,0.5703896880149841,1.3063554763793945,1.3312686681747437,,,,
10,263,,,,0.573819637298584,1.3104381561279297,0.7021353840827942,1.2302017211914062
10,263,0.5804511904716492,1.2996004819869995,1.3242673873901367,,,,
11,287,,,,0.572053074836731,1.2992011308670044,0.7012488842010498,1.2224386930465698
11,287,0.5788223743438721,1.2913519144058228,1.315838098526001,,,,
12,311,,,,0.574164628982544,1.2876722812652588,0.7021353840827942,1.2147893905639648
12,311,0.5712903738021851,1.3032151460647583,1.3275073766708374,,,,
13,335,,,,0.573819637298584,1.282517910003662,0.7021353840827942,1.20011305809021
13,335,0.5906402468681335,1.2757525444030762,1.2999345064163208,,,,
14,359,,,,0.5704057812690735,1.2759644985198975,0.7021353840827942,1.189144492149353
14,359,0.5916430354118347,1.280516505241394,1.3045320510864258,,,,
15,383,,,,0.5708494782447815,1.254825472831726,0.7021353840827942,1.1762386560440063
15,383,0.5898759961128235,1.2522937059402466,1.2761775255203247,,,,
16,407,,,,0.5676687955856323,1.2456624507904053,0.699261486530304,1.1655648946762085
16,407,0.596610963344574,1.2529982328414917,1.2768391370773315,,,,
17,431,,,,0.5603652000427246,1.2177093029022217,0.6962018609046936,1.1413819789886475
17,431,0.6029755473136902,1.233347773551941,1.2572814226150513,,,,
